ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-11-22 10:55:27+00:00,android,66786,US,Good Guy,Frank Ocean,Blonde,spotify:track:2JUqYobT8NvARdPmc4ES2x,trackdone,trackdone,False,False,False,1732272860.0,False
2024-11-22 11:00:34+00:00,android,307151,US,Nights,Frank Ocean,Blonde,spotify:track:7eqoqGkKwgOaWNNHx90uEZ,trackdone,trackdone,False,False,False,1732272927.0,False
2024-11-22 11:01:53+00:00,android,78742,US,Solo (Reprise),Frank Ocean,Blonde,spotify:track:2qtoRFCOEL1gRn5q9DJC7F,trackdone,trackdone,False,False,False,1732273234.0,False
2024-11-22 11:04:31+00:00,android,158478,US,Pretty Sweet,Frank Ocean,Blonde,spotify:track:17yrCsl1Ai6CZLBmGj6d6p,trackdone,trackdone,False,False,False,1732273313.0,False
2024-11-22 11:05:40+00:00,android,68588,US,Facebook Story,Frank Ocean,Blonde,spotify:track:73D5hBkiVZkopZrmBZTBWf,trackdone,trackdone,False,False,False,1732273471.0,False
2024-11-22 11:07:06+00:00,android,85754,US,Close To You,Frank Ocean,Blonde,spotify:track:1VZLEW5ZfcAbKZ94XQiSZF,trackdone,trackdone,False,False,False,1732273540.0,False
2024-11-22 11:11:15+00:00,android,248807,US,White Ferrari,Frank Ocean,Blonde,spotify:track:2LMkwUfqC6S6s6qDVlEuzV,trackdone,trackdone,False,False,False,1732273625.0,False
2024-11-22 11:16:49+00:00,android,334570,US,Seigfried,Frank Ocean,Blonde,spotify:track:1BViPjTT585XAhkUUrkts0,trackdone,trackdone,False,False,False,1732273874.0,False
2024-11-22 11:19:47+00:00,android,177922,US,Godspeed,Frank Ocean,Blonde,spotify:track:34xTFwjPQ1dC6uJmleno7x,trackdone,trackdone,False,False,False,1732274209.0,False
2024-11-22 11:29:11+00:00,android,564165,US,Futura Free,Frank Ocean,Blonde,spotify:track:5k8LB57xOq8UUNVaKWSqrf,trackdone,trackdone,False,False,False,1732274387.0,False
2024-11-22 15:15:48+00:00,android,120426,US,King of Carrot Flowers Pt. 1,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:5CU1bbfY1wUPm7fU255Dhf,clickrow,trackdone,False,False,False,1732288428.0,False
2024-11-22 15:18:54+00:00,android,186280,US,King of Carrot Flowers Pts. 2 & 3,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:1ULovMYbbglXIn9TQzMsKz,trackdone,trackdone,False,False,False,1732288547.0,False
2024-11-22 15:22:16+00:00,android,202346,US,In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:5rfT032kGmLvbxZzfHlu5D,trackdone,trackdone,False,False,False,1732288734.0,False
2024-11-22 15:26:42+00:00,android,266106,US,Two-Headed Boy,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:27AG99NmWMFLRoyZMMPNW2,trackdone,trackdone,False,False,False,1732288936.0,False
2024-11-22 15:28:35+00:00,android,113146,US,The Fool,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:7BSadtswKNAyWfiuHZNeih,trackdone,trackdone,False,False,False,1732289202.0,False
2024-11-22 15:31:48+00:00,android,192533,US,"Holland, 1945",Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:64DpBZj4IlDFzCwxTq7azl,trackdone,trackdone,False,False,False,1732289315.0,False
2024-11-22 15:33:45+00:00,android,117306,US,Communist Daughter,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:0n97PkKoTpnp5L343TMAgB,trackdone,trackdone,False,False,False,1732289508.0,False
2024-11-22 15:42:04+00:00,android,498146,US,Oh Comely,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:41WcmdweTbIJAc8tiOR6xw,trackdone,trackdone,False,False,False,1732289625.0,False
2024-11-22 15:46:13+00:00,android,248573,US,Ghost,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:5Rim1zEhBbmeKUPaMhDMh9,trackdone,trackdone,False,False,False,1732290124.0,False
2024-11-22 15:48:29+00:00,android,136026,US,[untitled],Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:7d82hWI28luZcFv2y3cdbT,trackdone,trackdone,False,False,False,1732290373.0,False
2024-11-22 15:53:43+00:00,android,313973,US,Two-Headed Boy Pt. 2,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:4gD68gReo8iXcV9FeRTyQL,trackdone,trackdone,False,False,False,1732290509.0,False
2024-11-22 16:07:18+00:00,android,5209,US,The King Of Carrot Flowers Part One,Neutral Milk Hotel,In An Aeroplane Over The Sea,spotify:track:6p3gISd6m00creYnqNuw9y,unknown,endplay,False,True,False,1732291633.0,False
2024-11-22 16:07:20+00:00,android,858,US,The King Of Carrot Flowers Part Two & Three,Neutral Milk Hotel,In An Aeroplane Over The Sea,spotify:track:0dTPh0KiQ7jcCwXgFdB5r8,unknown,endplay,False,True,False,1732291638.0,False
2024-11-22 16:11:33+00:00,android,45640,US,Start,Frank Ocean,channel ORANGE,spotify:track:0GAE689kVy7sFT2QWZH1Xa,clickrow,trackdone,False,False,False,1732291848.0,False
2024-11-22 16:14:54+00:00,android,200746,US,Thinkin Bout You,Frank Ocean,channel ORANGE,spotify:track:7DfFc7a6Rwfi3YQMRbDMau,trackdone,trackdone,False,False,False,1732291893.0,False
